	Histologic_origin	AVE_Ubi	Ubi_level	ATG10	ATG7	CDC20	CUL1	DDB2	ELOB	GTF3C1	HERC6	ITCH	MDM2	PPP2R2C	REN	RNF43	SPOP	TAF3	UBA7	UBE2C	UBE2T	VHL	WDR76
GSM5556163	Lymph node	117.794716	high	98.15369	94.94704	152.17039	148.2306	97.70399	154.25071	118.61244	95.62744	107.05809	114.44108	80.48031	93.03563	95.33758	113.30233	101.28703	150.42712	224.91258	128.29479	90.7401	96.88138
GSM5556149	Lymph node	118.5684195	high	93.92397	112.13852	181.08403	135.77166	101.43107	142.38007	120.76509	80.43024	115.24144	128.93708	85.62438	98.77406	89.57486	114.90384	95.75767	142.94138	218.42403	126.34181	80.51986	106.40333
GSM5556164	Lymph node	119.3416095	high	90.0712	95.59449	184.55514	149.68079	91.95263	148.16817	127.639	92.31839	112.49481	135.94277	88.18548	85.68543	86.68052	113.21002	98.55002	132.68346	221.39646	138.52464	83.35054	110.14823
GSM5556157	Lymph node	119.863373	high	98.01355	103.2385	151.4989	138.15257	114.28166	146.97683	118.7612	103.48498	126.30632	113.24009	94.19728	110.06388	102.59595	100.66035	112.21808	138.76333	216.4046	111.98045	90.63557	105.79337
GSM5556146	Lymph node	119.865404	high	96.44897	104.65765	145.32988	130.34354	126.68996	144.98046	123.43167	103.47303	137.83164	124.17491	99.44784	95.39525	98.75967	113.81977	102.25585	135.85546	196.4644	120.21999	91.80714	105.921
GSM5556165	Lymph node	122.083257	high	109.01549	115.10765	174.2017	135.85901	98.59406	140.14919	123.7512	99.82348	119.73926	117.51284	86.28324	109.41427	105.25926	111.23012	86.68034	133.16929	252.77146	131.58659	81.16837	110.34832
GSM5556142	Lymph node	122.162945	high	83.28135	100.36241	180.14049	142.77921	107.66611	142.16294	118.75936	90.31541	124.73904	147.83989	85.06383	83.68368	86.16305	109.48182	99.54049	146.8869	278.76051	122.95334	87.93241	104.74666
GSM5556154	Lymph node	122.424972	high	101.09568	110.5579	165.31761	136.63203	102.70626	148.1152	121.53859	102.09188	124.01006	130.72587	91.82638	106.62434	111.48362	110.87538	94.30966	137.92908	232.09375	136.18528	83.34461	101.03626
GSM5556148	Lymph node	123.883575	high	96.88543	105.69241	186.53256	136.12436	105.35189	159.42403	124.08896	91.9488	138.23965	136.25265	99.06917	96.2883	91.75939	114.89359	104.47286	142.99023	219.04157	129.10666	93.41614	106.09285
GSM5556153	Lymph node	124.831695	high	90.37433	109.59529	184.47103	140.44462	120.79434	144.52676	132.66406	88.59519	136.22729	144.06015	82.54827	94.18635	89.97646	109.58683	101.54483	147.03179	243.27209	133.56567	87.34844	115.82011
GSM5556145	Lymph node	127.0633865	high	96.22048	106.68881	194.484	134.92472	110.28104	156.89869	123.78853	89.34182	147.78026	148.14289	89.78487	94.94486	91.01569	115.67808	102.41797	145.52681	256.02439	134.75474	85.05805	117.51103
GSM5556158	Lymph node	128.9996275	high	81.64014	109.42245	209.10947	158.20322	108.04364	173.3287	133.70488	96.34282	126.30558	171.27491	69.46583	76.40179	85.58787	121.40779	94.40036	145.35742	279.40531	153.21037	70.67718	116.70282
GSM5556150	Lymph node	129.2314235	high	92.11537	105.4941	214.08194	140.48413	110.78648	144.88574	129.39706	87.30611	135.5389	141.7878	87.04169	93.85094	105.1188	117.86829	102.58061	141.45375	276.10901	139.78637	96.18169	122.75969
GSM5556159	Lymph node	130.491006	high	96.6694	106.30427	216.0291	152.24171	106.99371	180.43229	132.82224	99.66044	139.39207	143.98329	77.78538	101.86117	96.69108	109.5326	97.51544	137.01313	260.23872	162.73091	84.21825	107.70492
GSM5556144	Lymph node	132.4801525	high	94.13387	107.10107	225.63045	145.07503	111.22549	159.29962	132.18829	92.44458	149.13184	169.09116	84.22025	84.94312	89.21755	114.03255	108.52352	135.4282	276.34931	151.17403	93.71032	126.6828
GSM5556210	Pancreas	98.1125665	low	84.28138	89.15471	75.26967	115.00235	93.91953	143.24941	92.54678	68.54228	97.16825	94.19998	152.97041	120.35084	98.45938	112.61283	74.5269	122.79705	98.16592	70.75289	79.75104	78.52973
GSM5556213	Pancreas	104.831099	low	93.62995	80.7372	75.61188	114.6119	100.54844	139.26713	133.84263	65.38405	110.91052	101.7273	159.26023	123.78548	99.48888	112.65236	87.06337	114.69981	126.7696	76.26694	93.92384	86.44047
GSM5556211	Pancreas	105.442466	low	87.30608	90.12656	74.20449	115.70345	97.26005	144.64796	106.66233	78.97615	102.25196	89.69734	157.64344	124.86275	110.24923	117.23627	94.58236	124.64992	122.81419	80.32165	104.99281	84.66033
GSM5556206	Pancreas	105.8684385	low	90.2698	87.39151	68.80474	122.99758	107.26528	140.83908	99.86391	78.35641	116.13301	107.76621	152.44849	118.99173	102.6003	125.55224	92.6316	119.4022	138.07117	81.25271	90.99116	75.73964
GSM5556212	Pancreas	108.29234	high	109.09397	101.88272	82.91579	117.0341	99.43187	127.11362	114.20721	98.07887	105.01394	99.50077	139.77801	127.55326	104.88805	111.18367	108.55763	119.73299	115.18879	88.76067	107.17449	88.75638
GSM5556203	Spleen	100.412088	low	105.87121	99.22903	110.73261	110.08878	94.84217	128.3275	65.04377	66.65276	101.02669	96.0743	132.25764	155.51331	77.31468	105.46085	84.63747	93.15751	128.3275	97.70225	82.22512	73.75661
GSM5556207	Spleen	104.485734	low	119.51785	98.83606	84.18351	100.07175	103.4148	128.3292	77.90268	94.05281	103.37647	63.40193	139.23057	149.13136	104.7583	89.59011	98.901	106.92834	169.85108	98.53872	68.08993	91.60821
GSM5556120	Spleen	105.670736	low	91.73596	92.2648	89.19235	114.95222	100.90431	142.13598	83.43794	85.99811	95.62304	91.70782	146.09704	127.09631	96.79715	110.43054	95.08736	122.84712	145.57559	94.2777	93.60855	93.64483
GSM5556121	Spleen	106.7110215	high	99.88192	93.7828	92.04606	110.96134	96.70939	149.4755	97.25292	86.63205	104.91583	99.69306	149.3066	129.76963	94.97049	99.64491	108.841	105.61954	134.09355	95.66735	90.65314	94.30335
GSM5556129	Spleen	107.2769955	high	99.49523	95.01838	86.47224	112.03168	95.22963	148.20861	101.58323	95.05238	103.47992	92.25109	154.87634	137.31918	95.16425	106.15652	97.95494	115.48866	130.30257	96.19886	92.56954	90.68666
GSM5556128	Spleen	107.338609	high	102.30352	92.74137	92.69574	106.59625	94.09819	142.94392	97.91273	91.28789	104.46146	95.25209	150.85557	125.30269	109.91917	105.78596	104.31899	111.74887	136.34825	97.10396	94.86674	90.22882
GSM5556125	Spleen	107.6541185	high	108.09287	99.01189	92.10728	102.34001	102.69783	146.73982	94.57144	91.84398	103.42463	96.4245	157.31408	137.83731	102.72319	105.56384	101.37317	113.09546	119.54925	96.52064	87.41814	94.43304
GSM5556209	Spleen	107.866684	high	95.95241	100.9204	74.88774	126.1192	81.69928	123.36264	88.80729	90.82353	102.30497	96.29451	170.33726	142.66609	100.85465	105.43469	106.93186	133.1851	152.31449	90.00386	89.19615	85.23756
GSM5556126	Spleen	107.885339	high	84.67705	80.91716	97.6355	116.07446	101.9065	153.69421	81.69476	76.40497	84.30212	74.29943	206.62457	165.45246	97.33671	92.73219	97.9654	128.18209	150.69567	82.62018	92.58743	91.90392
GSM5556124	Spleen	108.080338	high	92.65013	80.80231	99.24481	110.03527	103.93445	159.64776	86.4794	69.15568	91.33004	80.3298	187.82132	153.54608	95.56086	96.68471	107.55032	127.55363	146.43812	90.30289	94.39026	88.14892
